TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-20 09:15:00,600519.0,9353.0,1785.0,1100.0,S,A,91285.0,6.0,105991.0
2023-03-20 09:15:01,600519.0,25255.0,1860.0,100.0,S,A,91338.0,6.0,106044.0
2023-03-20 09:15:02,600519.0,40499.0,1811.11,100.0,S,A,91407.0,6.0,106113.0
2023-03-20 09:15:03,600519.0,54072.0,1797.0,2000.0,S,A,91458.0,6.0,106164.0
2023-03-20 09:15:04,600519.0,69779.0,1769.87,100.0,S,A,91549.0,6.0,106255.0
2023-03-20 09:15:05,600519.0,81857.0,1759.98,100.0,S,A,91618.0,6.0,106324.0
2023-03-20 09:15:06,600519.0,96018.0,1888.88,100.0,S,A,91717.0,6.0,106423.0
2023-03-20 09:15:07,600519.0,107580.0,1800.0,200.0,S,A,91779.0,6.0,106485.0
2023-03-20 09:15:08,600519.0,118161.0,1733.0,100.0,B,A,91861.0,6.0,106567.0
2023-03-20 09:15:09,600519.0,123797.0,1909.0,100.0,S,A,91906.0,6.0,106612.0
2023-03-20 09:15:10,600519.0,128479.0,1770.0,100.0,S,A,91932.0,6.0,106638.0
2023-03-20 09:15:11,600519.0,132171.0,1818.0,100.0,S,A,91951.0,6.0,106657.0
2023-03-20 09:15:12,600519.0,135095.0,1788.0,100.0,S,A,91989.0,6.0,106695.0
2023-03-20 09:15:13,600519.0,135247.0,1682.0,100.0,B,A,91990.0,6.0,106696.0
2023-03-20 09:15:18,600519.0,135982.0,1742.0,200.0,B,A,91991.0,6.0,106697.0
2023-03-20 09:15:20,600519.0,136180.0,1820.0,200.0,S,A,91992.0,6.0,106698.0
2023-03-20 09:15:21,600519.0,136251.0,1720.0,700.0,S,A,91993.0,6.0,106699.0
2023-03-20 09:15:22,600519.0,136346.0,1829.1,100.0,B,A,91994.0,6.0,106700.0
2023-03-20 09:15:24,600519.0,136481.0,1916.2,200.0,B,A,91995.0,6.0,106701.0
2023-03-20 09:15:25,600519.0,136602.0,1890.0,100.0,S,A,91996.0,6.0,106702.0
2023-03-20 09:15:26,600519.0,136696.0,1773.5,100.0,S,A,91997.0,6.0,106703.0
2023-03-20 09:15:30,600519.0,137147.0,1744.0,100.0,B,A,91998.0,6.0,106704.0
2023-03-20 09:15:32,600519.0,137285.0,1654.9,100.0,S,A,91999.0,6.0,106705.0
2023-03-20 09:15:33,600519.0,137505.0,1784.0,100.0,S,A,92002.0,6.0,106708.0
2023-03-20 09:15:34,600519.0,137635.0,1654.9,100.0,S,A,92003.0,6.0,106709.0
2023-03-20 09:15:35,600519.0,137710.0,1791.0,100.0,S,A,92004.0,6.0,106710.0
2023-03-20 09:15:41,600519.0,138243.0,1829.1,100.0,B,A,92007.0,6.0,106713.0
2023-03-20 09:15:42,600519.0,138368.0,1750.0,400.0,B,A,92008.0,6.0,106714.0
2023-03-20 09:15:47,600519.0,138851.0,1794.26,900.0,B,A,92009.0,6.0,106715.0
2023-03-20 09:15:48,600519.0,139072.0,1756.0,100.0,S,A,92010.0,6.0,106716.0
2023-03-20 09:15:49,600519.0,139096.0,1777.0,100.0,S,A,92011.0,6.0,106717.0
2023-03-20 09:15:51,600519.0,138368.0,1750.0,400.0,B,D,92013.0,6.0,106719.0
2023-03-20 09:15:54,600519.0,139344.0,1916.2,100.0,B,D,92014.0,6.0,106720.0
2023-03-20 09:15:56,600519.0,139832.0,1800.0,100.0,S,A,92015.0,6.0,106721.0
2023-03-20 09:16:00,600519.0,140208.0,1727.74,100.0,B,A,92017.0,6.0,106723.0
2023-03-20 09:16:01,600519.0,140367.0,1784.0,100.0,S,A,92018.0,6.0,106724.0
2023-03-20 09:16:03,600519.0,140574.0,1916.2,100.0,S,A,92021.0,6.0,106727.0
2023-03-20 09:16:07,600519.0,48973.0,1740.36,100.0,B,D,92022.0,6.0,106728.0
2023-03-20 09:16:08,600519.0,140988.0,1780.0,100.0,S,A,92023.0,6.0,106729.0
2023-03-20 09:16:09,600519.0,141005.0,1585.69,100.0,B,A,92024.0,6.0,106730.0
2023-03-20 09:16:18,600519.0,141720.0,1800.0,100.0,S,A,92026.0,6.0,106732.0
2023-03-20 09:16:19,600519.0,141770.0,1752.0,100.0,S,A,92027.0,6.0,106733.0
2023-03-20 09:16:22,600519.0,141999.0,1829.1,3000.0,B,A,92030.0,6.0,106736.0
2023-03-20 09:16:23,600519.0,142050.0,1789.98,500.0,S,A,92031.0,6.0,106737.0
2023-03-20 09:16:24,600519.0,142103.0,1916.2,1400.0,B,A,92032.0,6.0,106738.0
2023-03-20 09:16:29,600519.0,142549.0,1799.98,500.0,S,A,92033.0,6.0,106739.0
2023-03-20 09:16:30,600519.0,142613.0,1791.0,200.0,S,A,92034.0,6.0,106740.0
2023-03-20 09:16:31,600519.0,142701.0,1731.3,100.0,B,A,92035.0,6.0,106741.0
2023-03-20 09:16:32,600519.0,142701.0,1731.3,100.0,B,D,92036.0,6.0,106742.0
2023-03-20 09:16:33,600519.0,136251.0,1720.0,700.0,S,D,92037.0,6.0,106743.0
2023-03-20 09:16:34,600519.0,142912.0,1916.0,100.0,S,A,92039.0,6.0,106745.0
2023-03-20 09:16:37,600519.0,143120.0,1715.0,100.0,B,A,92040.0,6.0,106746.0
2023-03-20 09:16:39,600519.0,143212.0,1809.98,500.0,S,A,92041.0,6.0,106747.0
2023-03-20 09:16:41,600519.0,143340.0,1654.9,100.0,S,A,92042.0,6.0,106748.0
2023-03-20 09:16:42,600519.0,143506.0,1768.68,100.0,S,A,92044.0,6.0,106750.0
2023-03-20 09:16:43,600519.0,143559.0,1748.0,100.0,B,A,92045.0,6.0,106751.0
2023-03-20 09:16:44,600519.0,143602.0,1803.0,200.0,S,A,92046.0,6.0,106752.0
2023-03-20 09:16:47,600519.0,143878.0,1753.89,100.0,S,A,92048.0,6.0,106754.0
2023-03-20 09:16:48,600519.0,143955.0,1715.0,100.0,B,A,92051.0,6.0,106757.0
2023-03-20 09:16:49,600519.0,144030.0,1846.99,100.0,S,A,92053.0,6.0,106759.0
2023-03-20 09:16:53,600519.0,144337.0,1710.02,500.0,B,A,92055.0,6.0,106761.0
2023-03-20 09:16:54,600519.0,144512.0,1731.0,100.0,B,A,92056.0,6.0,106762.0
2023-03-20 09:16:56,600519.0,144625.0,1731.0,100.0,B,A,92057.0,6.0,106763.0
2023-03-20 09:16:57,600519.0,144734.0,1916.2,600.0,B,A,92059.0,6.0,106765.0
2023-03-20 09:16:58,600519.0,144853.0,1730.0,100.0,S,A,92060.0,6.0,106766.0
2023-03-20 09:17:00,600519.0,144974.0,1916.2,400.0,B,A,92062.0,6.0,106768.0
2023-03-20 09:17:03,600519.0,145237.0,1775.0,100.0,S,A,92063.0,6.0,106769.0
2023-03-20 09:17:06,600519.0,145493.0,1728.0,100.0,B,A,92066.0,6.0,106772.0
2023-03-20 09:17:07,600519.0,145592.0,1770.0,100.0,S,A,92067.0,6.0,106773.0
2023-03-20 09:17:08,600519.0,87368.0,1700.0,100.0,S,D,92071.0,6.0,106777.0
2023-03-20 09:17:09,600519.0,139072.0,1756.0,100.0,S,D,92072.0,6.0,106778.0
2023-03-20 09:17:14,600519.0,146162.0,1795.0,100.0,S,A,92073.0,6.0,106779.0
2023-03-20 09:17:15,600519.0,146270.0,1770.0,100.0,S,A,92074.0,6.0,106780.0
2023-03-20 09:17:16,600519.0,146305.0,1768.68,100.0,S,A,92076.0,6.0,106782.0
2023-03-20 09:17:17,600519.0,146402.0,1763.6,800.0,S,A,92077.0,6.0,106783.0
2023-03-20 09:17:18,600519.0,146483.0,1916.0,300.0,S,A,92078.0,6.0,106784.0
2023-03-20 09:17:19,600519.0,146559.0,1757.0,100.0,S,A,92080.0,6.0,106786.0
2023-03-20 09:17:20,600519.0,146613.0,1789.0,700.0,S,A,92081.0,6.0,106787.0
2023-03-20 09:17:21,600519.0,146661.0,1745.0,100.0,B,A,92082.0,6.0,106788.0
2023-03-20 09:17:23,600519.0,146846.0,1775.0,100.0,S,A,92083.0,6.0,106789.0
