TradingTime,TradeVolume,TradeValue,SecurityID,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime,TradePrice
2023-03-20 09:25:00,30285,53029035.0,600519.0,199870.0,210921.0,14897.0,6.0,N,107598.0,20230320092501.0,1751.0
2023-03-20 09:30:00,3100,5432671.0,600519.0,220963.0,227778.0,33414.0,6.0,S,265726.0,20230320092931.0,1752.4745161290323
2023-03-20 09:30:01,2700,4730926.0,600519.0,199870.0,238197.0,37542.0,6.0,S,278558.0,20230320093001.0,1752.194814814815
2023-03-20 09:30:02,2600,4553665.0,600519.0,199870.0,251519.0,42267.0,6.0,S,294771.0,20230320093001.0,1751.4096153846153
2023-03-20 09:30:03,1600,2801680.0,600519.0,220180.0,262701.0,46305.0,6.0,S,308322.0,20230320093004.0,1751.05
2023-03-20 09:30:04,1400,2451713.0,600519.0,226146.0,274177.0,50430.0,6.0,S,322315.0,20230320093004.0,1751.2235714285714
2023-03-20 09:30:05,1715,3003895.94,600519.0,288565.0,287071.0,56320.0,6.0,B,340517.0,20230320093007.0,1751.5428221574343
2023-03-20 09:30:06,5727,10027308.19,600519.0,299968.0,300104.0,60786.0,6.0,S,354646.0,20230320093007.0,1750.8832180897502
2023-03-20 09:30:07,800,1400144.0,600519.0,193289.0,312318.0,65474.0,6.0,S,369887.0,20230320093010.0,1750.18
2023-03-20 09:30:08,3500,6126230.0,600519.0,325796.0,325595.0,70610.0,6.0,B,386581.0,20230320093013.0,1750.3514285714286
2023-03-20 09:30:09,1573,2752899.73,600519.0,338303.0,335672.0,75081.0,6.0,B,402046.0,20230320093013.0,1750.095187539733
2023-03-20 09:30:10,5400,9446621.27,600519.0,349454.0,342534.0,79666.0,6.0,B,416543.0,20230320093016.0,1749.3743092592592
2023-03-20 09:30:11,1900,3324692.0,600519.0,359562.0,358885.0,84274.0,6.0,B,430520.0,20230320093016.0,1749.8378947368421
2023-03-20 09:30:12,700,1224350.0,600519.0,369404.0,360574.0,88696.0,6.0,B,444120.0,20230320093016.0,1749.0714285714287
2023-03-20 09:30:13,500,874176.0,600519.0,383184.0,373676.0,94834.0,6.0,B,463703.0,20230320093019.0,1748.352
2023-03-20 09:30:14,2500,4371799.84,600519.0,390882.0,391102.0,98523.0,6.0,S,475519.0,20230320093019.0,1748.719936
2023-03-20 09:30:15,1600,2791400.0,600519.0,116142.0,398848.0,102353.0,6.0,S,487538.0,20230320093022.0,1744.625
2023-03-20 09:30:16,1800,3143329.0,600519.0,404783.0,404782.0,105223.0,6.0,B,497195.0,20230320093022.0,1746.293888888889
2023-03-20 09:30:17,1200,2092898.0,600519.0,408400.0,408749.0,107129.0,6.0,S,504060.0,20230320093022.0,1744.0816666666667
2023-03-20 09:30:18,400,697701.0,600519.0,412505.0,404333.0,109373.0,6.0,B,510995.0,20230320093025.0,1744.2525
2023-03-20 09:30:19,300,523401.0,600519.0,414104.0,417167.0,111995.0,6.0,S,518803.0,20230320093025.0,1744.67
2023-03-20 09:30:20,800,1395209.0,600519.0,417886.0,419971.0,113647.0,6.0,S,523508.0,20230320093025.0,1744.01125
2023-03-20 09:30:21,200,348911.0,600519.0,416009.0,421842.0,114744.0,6.0,S,526628.0,20230320093025.0,1744.555
2023-03-20 09:30:22,400,698098.0,600519.0,425911.0,425681.0,117332.0,6.0,B,533661.0,20230320093028.0,1745.245
2023-03-20 09:30:23,2200,3837892.0,600519.0,32326.0,430357.0,120388.0,6.0,S,541594.0,20230320093028.0,1744.4963636363636
2023-03-20 09:30:24,100,174210.0,600519.0,274146.0,433383.0,122332.0,6.0,S,546653.0,20230320093028.0,1742.1
2023-03-20 09:30:25,400,696830.0,600519.0,438050.0,437838.0,125166.0,6.0,B,554215.0,20230320093028.0,1742.075
2023-03-20 09:30:26,700,1219447.0,600519.0,439215.0,439052.0,125952.0,6.0,B,556342.0,20230320093031.0,1742.067142857143
2023-03-20 09:30:28,1100,1916216.0,600519.0,35003.0,447814.0,131056.0,6.0,S,570092.0,20230320093031.0,1742.0145454545454
2023-03-20 09:30:29,3200,5574400.0,600519.0,134123.0,449867.0,132480.0,6.0,S,573492.0,20230320093031.0,1742.0
2023-03-20 09:30:30,100,174201.0,600519.0,451063.0,447815.0,133095.0,6.0,B,575327.0,20230320093031.0,1742.01
2023-03-20 09:30:31,2400,4180803.0,600519.0,134123.0,457545.0,137169.0,6.0,S,585836.0,20230320093034.0,1742.00125
2023-03-20 09:30:32,1400,2438803.0,600519.0,460273.0,448360.0,138918.0,6.0,B,590345.0,20230320093034.0,1742.0021428571429
2023-03-20 09:30:33,1300,2264601.0,600519.0,159580.0,463580.0,141111.0,6.0,S,596165.0,20230320093034.0,1742.0007692307693
2023-03-20 09:30:34,1200,2090402.0,600519.0,466479.0,466417.0,142928.0,6.0,B,601121.0,20230320093034.0,1742.0016666666668
2023-03-20 09:30:35,600,1045160.0,600519.0,28596.0,469094.0,144583.0,6.0,S,605564.0,20230320093037.0,1741.9333333333334
2023-03-20 09:30:36,3100,5399577.0,600519.0,471221.0,471187.0,145977.0,6.0,B,609119.0,20230320093037.0,1741.7990322580645
2023-03-20 09:30:37,2500,4354681.0,600519.0,475087.0,471364.0,148622.0,6.0,B,615613.0,20230320093037.0,1741.8724
2023-03-20 09:30:38,800,1393619.0,600519.0,477697.0,464302.0,150237.0,6.0,B,619801.0,20230320093037.0,1742.02375
2023-03-20 09:30:39,200,348404.0,600519.0,475087.0,478010.0,150409.0,6.0,S,620304.0,20230320093037.0,1742.02
2023-03-20 09:30:40,2400,4182332.0,600519.0,483615.0,483644.0,154893.0,6.0,S,630191.0,20230320093040.0,1742.6383333333333
2023-03-20 09:30:41,400,696840.0,600519.0,483626.0,486441.0,156708.0,6.0,S,634644.0,20230320093040.0,1742.1
2023-03-20 09:30:42,400,697537.0,600519.0,489948.0,441143.0,158901.0,6.0,B,640135.0,20230320093040.0,1743.8425
2023-03-20 09:30:43,2000,3484396.0,600519.0,481724.0,492573.0,160783.0,6.0,S,644527.0,20230320093040.0,1742.198
2023-03-20 09:30:44,2000,3484554.0,600519.0,476935.0,495910.0,162930.0,6.0,S,649896.0,20230320093043.0,1742.277
2023-03-20 09:30:45,400,696802.0,600519.0,481950.0,498731.0,164467.0,6.0,S,654178.0,20230320093043.0,1742.005
2023-03-20 09:30:46,2800,4877615.0,600519.0,501937.0,502477.0,167286.0,6.0,S,660505.0,20230320093046.0,1742.005357142857
2023-03-20 09:30:47,700,1219409.0,600519.0,502269.0,503631.0,168037.0,6.0,S,662296.0,20230320093046.0,1742.0128571428572
2023-03-20 09:30:48,300,522615.0,600519.0,507764.0,507797.0,170798.0,6.0,S,668828.0,20230320093046.0,1742.05
2023-03-20 09:30:49,1300,2264647.0,600519.0,481950.0,510901.0,172809.0,6.0,S,673817.0,20230320093049.0,1742.0361538461539
2023-03-20 09:30:50,1100,1915606.0,600519.0,134124.0,513352.0,174426.0,6.0,S,677779.0,20230320093049.0,1741.46
2023-03-20 09:30:51,1100,1915514.0,600519.0,134124.0,516216.0,176328.0,6.0,S,682379.0,20230320093049.0,1741.3763636363637
2023-03-20 09:30:52,700,1218806.0,600519.0,134124.0,518989.0,178356.0,6.0,S,687105.0,20230320093052.0,1741.1514285714286
2023-03-20 09:30:53,1200,2090310.0,600519.0,521194.0,519428.0,179788.0,6.0,B,690628.0,20230320093052.0,1741.925
2023-03-20 09:30:54,500,871000.0,600519.0,519265.0,523158.0,181087.0,6.0,S,693710.0,20230320093052.0,1742.0
2023-03-20 09:30:55,3300,5761173.0,600519.0,526395.0,511743.0,183260.0,6.0,B,698807.0,20230320093055.0,1745.81
2023-03-20 09:30:56,1800,3137591.0,600519.0,528820.0,528826.0,184943.0,6.0,S,702777.0,20230320093055.0,1743.1061111111112
2023-03-20 09:30:57,4600,8013757.0,600519.0,531281.0,531619.0,186644.0,6.0,S,706978.0,20230320093055.0,1742.1210869565218
2023-03-20 09:30:58,300,523069.0,600519.0,532253.0,534233.0,188599.0,6.0,S,711472.0,20230320093058.0,1743.5633333333333
2023-03-20 09:30:59,500,871496.0,600519.0,519265.0,534792.0,188956.0,6.0,S,712368.0,20230320093058.0,1742.992
2023-03-20 09:31:00,200,348401.0,600519.0,519265.0,538282.0,191140.0,6.0,S,717729.0,20230320093058.0,1742.005
2023-03-20 09:31:01,2000,3487439.0,600519.0,542908.0,534948.0,194158.0,6.0,B,724946.0,20230320093101.0,1743.7195
