SecurityID,TradingTime,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
600519,2023-03-21 09:15:00.040,118,1899.0,200,S,A,91772,6,105015
600519,2023-03-21 09:15:00.060,297,1761.0,100,S,A,91773,6,105016
600519,2023-03-21 09:15:00.060,379,1902.56,100,S,A,91774,6,105017
600519,2023-03-21 09:15:00.080,445,1710.11,100,B,A,91775,6,105018
600519,2023-03-21 09:15:00.220,1090,1731.9,200,S,A,91776,6,105019
600519,2023-03-21 09:15:00.220,1091,1731.9,200,S,A,91777,6,105020
600519,2023-03-21 09:15:00.220,1092,1731.9,200,S,A,91778,6,105021
600519,2023-03-21 09:15:00.220,1093,1731.9,200,S,A,91779,6,105022
600519,2023-03-21 09:15:00.220,1094,1731.9,200,S,A,91780,6,105023
600519,2023-03-21 09:15:00.220,1095,1731.9,253,S,A,91781,6,105024
600519,2023-03-21 09:15:00.220,1096,1731.9,200,S,A,91782,6,105025
600519,2023-03-21 09:15:00.220,1100,1731.9,200,S,A,91783,6,105026
600519,2023-03-21 09:15:00.220,1101,1731.9,200,S,A,91784,6,105027
600519,2023-03-21 09:15:00.220,1102,1731.9,200,S,A,91785,6,105028
600519,2023-03-21 09:15:00.320,1290,1701.11,100,B,A,91786,6,105029
600519,2023-03-21 09:15:00.320,1557,1700.17,100,B,A,91787,6,105030
600519,2023-03-21 09:15:00.360,1876,1770.0,1700,S,A,91788,6,105031
600519,2023-03-21 09:15:00.400,2029,1875.0,100,S,A,91789,6,105032
600519,2023-03-21 09:15:00.400,2135,1701.8,100,B,A,91790,6,105033
600519,2023-03-21 09:15:00.400,2143,1688.0,100,B,A,91791,6,105034
600519,2023-03-21 09:15:00.420,2631,1700.05,100,B,A,91792,6,105035
600519,2023-03-21 09:15:00.460,3638,1746.0,100,S,A,91793,6,105036
600519,2023-03-21 09:15:00.460,3777,1760.0,100,S,A,91794,6,105037
600519,2023-03-21 09:15:00.460,3778,1765.0,100,S,A,91795,6,105038
600519,2023-03-21 09:15:00.460,3793,1755.0,100,S,A,91796,6,105039
600519,2023-03-21 09:15:00.460,3868,1785.0,100,S,A,91797,6,105040
600519,2023-03-21 09:15:00.460,3869,1798.0,100,S,A,91798,6,105041
600519,2023-03-21 09:15:00.540,4391,1650.0,100,B,A,91799,6,105042
600519,2023-03-21 09:15:00.540,4487,1848.0,100,S,A,91800,6,105043
600519,2023-03-21 09:15:00.540,4597,1825.0,100,S,A,91801,6,105044
600519,2023-03-21 09:15:00.540,5140,1666.67,100,B,A,91802,6,105045
600519,2023-03-21 09:15:00.540,5145,1752.93,100,S,A,91803,6,105046
600519,2023-03-21 09:15:00.540,5167,1661.1,400,B,A,91804,6,105047
600519,2023-03-21 09:15:00.540,5173,1606.1,800,B,A,91805,6,105048
600519,2023-03-21 09:15:00.540,5258,1835.0,100,S,A,91806,6,105049
600519,2023-03-21 09:15:00.640,6609,1700.0,100,B,A,91807,6,105050
600519,2023-03-21 09:15:00.640,6611,1700.12,100,B,A,91808,6,105051
600519,2023-03-21 09:15:00.640,6630,1680.0,100,B,A,91809,6,105052
600519,2023-03-21 09:15:00.640,6637,1600.0,100,B,A,91810,6,105053
600519,2023-03-21 09:15:00.700,6983,1748.0,100,S,A,91811,6,105054
600519,2023-03-21 09:15:00.700,7011,1759.6,100,S,A,91812,6,105055
600519,2023-03-21 09:15:00.700,7012,1799.6,100,S,A,91813,6,105056
600519,2023-03-21 09:15:00.850,7289,1750.0,100,S,A,91814,6,105057
600519,2023-03-21 09:15:00.850,7708,1775.97,100,S,A,91815,6,105058
600519,2023-03-21 09:15:00.910,7813,1698.5,200,B,A,91816,6,105059
600519,2023-03-21 09:15:00.910,7929,1897.0,100,S,A,91817,6,105060
600519,2023-03-21 09:15:00.970,8137,1641.0,100,B,A,91818,6,105061
600519,2023-03-21 09:15:00.970,8155,1775.0,100,S,A,91819,6,105062
600519,2023-03-21 09:15:00.970,8216,1763.0,300,S,A,91820,6,105063
600519,2023-03-21 09:15:00.970,8259,1769.6,100,S,A,91821,6,105064
600519,2023-03-21 09:15:01.000,8678,1781.0,400,S,A,91822,6,105065
600519,2023-03-21 09:15:01.030,8969,1757.77,100,S,A,91823,6,105066
600519,2023-03-21 09:15:01.030,9011,1600.77,100,B,A,91824,6,105067
600519,2023-03-21 09:15:01.030,9307,1767.0,100,S,A,91825,6,105068
600519,2023-03-21 09:15:01.080,9727,1753.0,100,S,A,91826,6,105069
600519,2023-03-21 09:15:01.080,10159,1759.0,100,S,A,91827,6,105070
600519,2023-03-21 09:15:01.080,10167,1695.0,100,B,A,91828,6,105071
600519,2023-03-21 09:15:01.080,10535,1700.0,300,B,A,91829,6,105072
600519,2023-03-21 09:15:01.080,11075,1755.0,100,S,A,91830,6,105073
600519,2023-03-21 09:15:01.080,11096,1754.0,100,S,A,91831,6,105074
600519,2023-03-21 09:15:01.080,11130,1764.0,100,S,A,91832,6,105075
600519,2023-03-21 09:15:01.080,11154,1753.99,100,S,A,91833,6,105076
600519,2023-03-21 09:15:01.080,11162,1774.0,100,S,A,91834,6,105077
600519,2023-03-21 09:15:01.080,11204,1784.0,100,S,A,91835,6,105078
600519,2023-03-21 09:15:01.080,11205,1794.0,100,S,A,91836,6,105079
600519,2023-03-21 09:15:01.080,11217,1804.0,100,S,A,91837,6,105080
600519,2023-03-21 09:15:01.080,11233,1814.0,100,S,A,91838,6,105081
600519,2023-03-21 09:15:01.080,11254,1834.0,100,S,A,91839,6,105082
600519,2023-03-21 09:15:01.080,11273,1844.0,100,S,A,91840,6,105083
600519,2023-03-21 09:15:01.080,11293,1854.0,100,S,A,91841,6,105084
600519,2023-03-21 09:15:01.080,11327,1864.0,100,S,A,91842,6,105085
600519,2023-03-21 09:15:01.170,11579,1824.0,100,S,A,91843,6,105086
600519,2023-03-21 09:15:01.170,11597,1650.77,100,B,A,91844,6,105087
600519,2023-03-21 09:15:01.170,11624,1765.0,100,S,A,91845,6,105088
600519,2023-03-21 09:15:01.170,11684,1690.9,100,B,A,91846,6,105089
600519,2023-03-21 09:15:01.170,11822,1902.56,100,S,A,91847,6,105090
600519,2023-03-21 09:15:01.170,12119,1902.56,100,S,A,91848,6,105091
600519,2023-03-21 09:15:01.170,12636,1729.6,100,S,A,91849,6,105092
600519,2023-03-21 09:15:01.250,13881,1800.0,100,S,A,91850,6,105093
600519,2023-03-21 09:15:01.250,13895,1838.0,100,S,A,91851,6,105094
600519,2023-03-21 09:15:01.250,14176,1752.0,100,S,A,91852,6,105095
600519,2023-03-21 09:15:01.250,14241,1801.0,100,S,A,91853,6,105096
600519,2023-03-21 09:15:01.250,14333,1711.0,100,B,A,91854,6,105097
600519,2023-03-21 09:15:01.250,14356,1705.0,100,B,A,91855,6,105098
