SecurityID,TradingTime,TradePrice,TradeVolume,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,40052,118835,13244,6,N,106195,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,120770,119961,13245,6,N,106196,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,134784,141908,13246,6,N,106197,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,148273,162296,13247,6,N,106198,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,148273,133851,13248,6,N,106199,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,151339,133851,13249,6,N,106200,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,164136,39790,13250,6,N,106201,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,164136,120466,13251,6,N,106202,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,164785,135554,13252,6,N,106203,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,177430,148004,13253,6,N,106204,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,184318,148004,13254,6,N,106205,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221739,164125,13255,6,N,106206,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,183781,176699,13256,6,N,106207,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183832,179759,13257,6,N,106208,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,183769,13258,6,N,106209,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,183838,13259,6,N,106210,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,183958,13260,6,N,106211,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,191009,13261,6,N,106212,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,197339,13262,6,N,106213,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,202233,13263,6,N,106214,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,213412,13264,6,N,106215,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,183858,162901,13265,6,N,106216,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,184216,162936,13266,6,N,106217,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,204391,217381,13267,6,N,106218,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,204391,217455,13268,6,N,106219,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,204391,217467,13269,6,N,106220,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,204391,217512,13270,6,N,106221,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,216283,217531,13271,6,N,106222,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,216283,217691,13272,6,N,106223,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,216283,192619,13273,6,N,106224,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,216283,215605,13274,6,N,106225,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219347,215605,13275,6,N,106226,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,162934,215605,13276,6,N,106227,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,180477,215605,13277,6,N,106228,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,202492,179333,13278,6,N,106229,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,215236,102398,13279,6,N,106230,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,119557,78756,13280,6,N,106231,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,136344,202077,13281,6,N,106232,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,220307,202077,13282,6,N,106233,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,220835,174844,13283,6,N,106234,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,18946,210935,13284,6,N,106235,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,217675,223140,13285,6,N,106236,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,217675,120344,13286,6,N,106237,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,217675,197872,13287,6,N,106238,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,217675,12636,13288,6,N,106239,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,217675,91185,13289,6,N,106240,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,222909,129544,13290,6,N,106241,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,222909,205278,13291,6,N,106242,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,222909,190658,13292,6,N,106243,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,222909,192748,13293,6,N,106244,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,222909,206829,13294,6,N,106245,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,400,694000.0,188499,206829,13295,6,N,106246,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,300,520500.0,188499,209641,13296,6,N,106247,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,300,520500.0,188499,212965,13297,6,N,106248,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,188499,219088,13298,6,N,106249,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,188499,183920,13299,6,N,106250,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,199709,183920,13300,6,N,106251,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,223173,1090,13301,6,N,106252,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,215590,1091,13302,6,N,106253,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,204926,1091,13303,6,N,106254,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,18447,1092,13304,6,N,106255,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,102229,1092,13305,6,N,106256,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,102229,1093,13306,6,N,106257,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,102229,1094,13307,6,N,106258,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,125558,1095,13308,6,N,106259,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,127151,1095,13309,6,N,106260,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,134306,1095,13310,6,N,106261,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,147,255045.0,134306,1096,13311,6,N,106262,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,207653,1096,13312,6,N,106263,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,207653,1100,13313,6,N,106264,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,147,255045.0,207653,1101,13314,6,N,106265,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,221153,1101,13315,6,N,106266,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,221153,1102,13316,6,N,106267,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221153,168555,13317,6,N,106268,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221153,170363,13318,6,N,106269,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221153,176249,13319,6,N,106270,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221153,179513,13320,6,N,106271,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,221153,183174,13321,6,N,106272,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,47,81545.0,221153,184085,13322,6,N,106273,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,102245,184085,13323,6,N,106274,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,47,81545.0,102245,185495,13324,6,N,106275,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,219729,185495,13325,6,N,106276,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,219729,138542,13326,6,N,106277,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,174010,13327,6,N,106278,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,198579,13328,6,N,106279,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,192505,13329,6,N,106280,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,196299,13330,6,N,106281,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,211659,13331,6,N,106282,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,199034,13332,6,N,106283,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,199320,13333,6,N,106284,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,201797,13334,6,N,106285,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,202872,13335,6,N,106286,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,210728,13336,6,N,106287,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,193087,13337,6,N,106288,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,204298,13338,6,N,106289,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,219729,214202,13339,6,N,106290,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,200,347000.0,219729,214489,13340,6,N,106291,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,47,81545.0,219729,219236,13341,6,N,106292,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,196445,219236,13342,6,N,106293,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,47,81545.0,196445,222301,13343,6,N,106294,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,203723,222301,13344,6,N,106295,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,220839,222301,13345,6,N,106296,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,184270,222301,13346,6,N,106297,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,47,81545.0,184270,217167,13347,6,N,106298,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,53,91955.0,196938,217167,13348,6,N,106299,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,221581,13349,6,N,106300,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,223470,13350,6,N,106301,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,190129,13351,6,N,106302,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,212790,13352,6,N,106303,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,215881,13353,6,N,106304,20230321092500
600519,2023-03-21 09:25:00.370,1735.0,100,173500.0,196938,218660,13354,6,N,106305,20230321092500
600519,2023-03-21 09:30:00.030,1735.8,100,173580.0,224052,171161,27349,6,B,257240,20230321092957
600519,2023-03-21 09:30:00.070,1736.0,100,173600.0,224110,63363,27418,6,B,257365,20230321092957
600519,2023-03-21 09:30:00.070,1736.0,400,694400.0,224110,153166,27419,6,B,257366,20230321092957
600519,2023-03-21 09:30:00.070,1736.0,100,173600.0,224110,195278,27420,6,B,257367,20230321092957
600519,2023-03-21 09:30:00.070,1736.0,100,173600.0,224110,216942,27421,6,B,257368,20230321092957
600519,2023-03-21 09:30:00.220,1736.0,100,173600.0,224110,224819,28151,6,S,258718,20230321092957
600519,2023-03-21 09:30:00.270,1735.0,100,173500.0,196938,225510,28387,6,S,259600,20230321092957
600519,2023-03-21 09:30:00.820,1735.0,100,173500.0,196938,228082,29341,6,S,262926,20230321093000
600519,2023-03-21 09:30:00.940,1735.0,100,173500.0,196938,229421,29724,6,S,264545,20230321093000
600519,2023-03-21 09:30:01.950,1736.0,100,173600.0,241468,227630,33470,6,B,279423,20230321093000
600519,2023-03-21 09:30:01.950,1735.8,100,173580.0,233412,241912,33625,6,S,279939,20230321093000
600519,2023-03-21 09:30:02.090,1735.8,100,173580.0,239065,243783,34144,6,S,282080,20230321093000
600519,2023-03-21 09:30:02.090,1735.8,200,347160.0,243645,243783,34145,6,S,282081,20230321093000
600519,2023-03-21 09:30:02.470,1735.5,100,173550.0,237287,247879,35350,6,S,286919,20230321093000
600519,2023-03-21 09:30:02.470,1735.05,100,173505.0,247376,248255,35480,6,S,287348,20230321093000
600519,2023-03-21 09:30:02.600,1735.05,100,173505.0,247376,250520,36201,6,S,290153,20230321093000
600519,2023-03-21 09:30:02.740,1735.33,100,173533.0,251065,248865,36364,6,B,290830,20230321093000
600519,2023-03-21 09:30:02.870,1735.05,100,173505.0,247376,254287,37305,6,S,294662,20230321093003
600519,2023-03-21 09:30:02.870,1735.02,100,173502.0,247139,254287,37306,6,S,294663,20230321093003
600519,2023-03-21 09:30:03.000,1735.33,100,173533.0,254835,248866,37483,6,B,295315,20230321093003
600519,2023-03-21 09:30:03.150,1735.02,100,173502.0,247139,257743,38402,6,S,298915,20230321093003
600519,2023-03-21 09:30:03.150,1735.01,100,173501.0,248838,257822,38433,6,S,299009,20230321093003
600519,2023-03-21 09:30:03.740,1735.0,100,173500.0,196938,264235,40413,6,S,306772,20230321093003
600519,2023-03-21 09:30:03.880,1735.33,100,173533.0,266264,260968,41004,6,B,309249,20230321093003
600519,2023-03-21 09:30:04.080,1735.33,100,173533.0,268166,260969,41538,6,B,311481,20230321093003
600519,2023-03-21 09:30:04.080,1735.33,100,173533.0,268935,266321,41778,6,B,312379,20230321093003
600519,2023-03-21 09:30:04.390,1736.0,100,173600.0,271187,233794,42425,6,B,315027,20230321093003
600519,2023-03-21 09:30:04.470,1735.0,100,173500.0,196938,272026,42703,6,S,316020,20230321093003
600519,2023-03-21 09:30:04.470,1735.0,200,347000.0,196938,273285,43031,6,S,317473,20230321093003
600519,2023-03-21 09:30:04.740,1735.8,100,173580.0,275581,273491,43762,6,B,320292,20230321093003
600519,2023-03-21 09:30:04.740,1735.0,47,81545.0,196938,276689,44073,6,S,321608,20230321093003
600519,2023-03-21 09:30:04.740,1735.0,53,91955.0,207338,276689,44074,6,S,321609,20230321093003
600519,2023-03-21 09:30:05.020,1735.0,200,347000.0,207338,280046,45198,6,S,325675,20230321093003
600519,2023-03-21 09:30:05.020,1735.0,100,173500.0,207338,280189,45241,6,S,325839,20230321093003
600519,2023-03-21 09:30:05.320,1735.81,100,173581.0,282204,284352,46880,6,S,331145,20230321093003
600519,2023-03-21 09:30:05.440,1735.97,100,173597.0,284643,273743,47016,6,B,331541,20230321093006
600519,2023-03-21 09:30:05.440,1736.5,100,173650.0,284643,192900,47017,6,B,331542,20230321093006
600519,2023-03-21 09:30:05.440,1736.5,100,173650.0,284643,246510,47018,6,B,331543,20230321093006
600519,2023-03-21 09:30:05.440,1736.5,100,173650.0,284643,280278,47019,6,B,331544,20230321093006
600519,2023-03-21 09:30:05.440,1735.81,100,173581.0,282204,285539,47290,6,S,332637,20230321093006
600519,2023-03-21 09:30:05.440,1735.8,100,173580.0,282630,285589,47311,6,S,332707,20230321093006
600519,2023-03-21 09:30:05.570,1735.08,200,347016.0,280681,286496,47621,6,S,333803,20230321093006
600519,2023-03-21 09:30:05.570,1735.0,100,173500.0,207338,286496,47622,6,S,333804,20230321093006
